CompID,StudyID,NewCompID,Citation,Location,Mine,Taxa,Metric,Status,Raw0,Raw1,sd0,sd1,n0,n1
1,1,1,"Pond, G. J., et al. J. North Am. Benthol. Soc. 27, 717-737 (2008).",West Virginia,M,AqInv,Richness,Act,32.1,21.66666667,5.858517067,6.644836052,10,27
6,5,2,"Kimmer, W. G., Argent, D. G. Water Air Soil Pollut. 206, 49-56 (2010).",Pennsylvania,U,Fish,Richness,Act,27,19.7,1,5.774464862,3,10
7,6,3,"Armstead, M. Y., et al. Proc. Am. Soc. Mining Reclam. 2004: 87-93 (2004); Potesta & Associates, Inc. “Supplemental Quantitative Benthic Macroinvertebrate Studies Implemented in Conjunction with the USEPA Mountaintop Mining/Valley Fill Environmental Impact Statement Study Within the Mud River, Spruce Fork, and Island Creek Watersheds” in Mountain Top Mining Valley Fills in Appalachia Final Programmatic Environmental Impact Statement Public Comments Vol. 1, pp. A245-A296 (USEPA, 2003).",West Virginia,M,AqInv,Richness,Act,14.49571429,11.555,3.591526403,3.279589913,7,6
8,6,4,"Armstead, M. Y., et al. Proc. Am. Soc. Mining Reclam. 2004: 87-93 (2004); Potesta & Associates, Inc. “Supplemental Quantitative Benthic Macroinvertebrate Studies Implemented in Conjunction with the USEPA Mountaintop Mining/Valley Fill Environmental Impact Statement Study Within the Mud River, Spruce Fork, and Island Creek Watersheds” in Mountain Top Mining Valley Fills in Appalachia Final Programmatic Environmental Impact Statement Public Comments Vol. 1, pp. A245-A296 (USEPA, 2003).",West Virginia,M,AqInv,Richness,Act,14.90571429,13.02428571,1.565959313,2.891953533,7,7
9,7,5,"Howard, H. S., et al.  “Kentucky Mountaintop Mining Benthic Macroinvertebrate Survey” in Mountaintop Mining/Valley Fills in Appalachia Draft Programmatic Environmental Impact Statement (EPA 9-03-R-00013B, USEPA, 2003).",Kentucky,M,AqInv,Richness,Act,43,31,4.242640687,5.707138387,4,8
10,8,6,"Ferreri, C. P., et al. Proc. Am. Soc. Mining Reclam. 2004, 576-592 (2004).",West Virginia,M,Fish,Richness,Act,14,5.75,2.645751311,2.872281323,3,4
11,9,7,"Stauffer Jr, J. R., Ferreri, C. P. “Characterization of Stream Fish Assemblages in Selected Regions of Mountain Top Removal/Valley Fill Coal Mining” in Mountaintop Mining/Valley Fills in Appalachia Draft Programmatic Environmental Impact Statement (EPA 9-03-R-00013B, USEPA, 2003).",West Virginia,M,Fish,Richness,Act,2.666666667,2.714285714,3.204163958,4.151878519,6,7
12,9,8,"Stauffer Jr, J. R., Ferreri, C. P. “Characterization of Stream Fish Assemblages in Selected Regions of Mountain Top Removal/Valley Fill Coal Mining” in Mountaintop Mining/Valley Fills in Appalachia Draft Programmatic Environmental Impact Statement (EPA 9-03-R-00013B, USEPA, 2003).",West Virginia,M,Fish,Richness,Act,5,3,1.414213562,0,4,2
13,9,9,"Stauffer Jr, J. R., Ferreri, C. P. “Characterization of Stream Fish Assemblages in Selected Regions of Mountain Top Removal/Valley Fill Coal Mining” in Mountaintop Mining/Valley Fills in Appalachia Draft Programmatic Environmental Impact Statement (EPA 9-03-R-00013B, USEPA, 2003).",Kentucky,M,Fish,Richness,Act,13.8,7.857142857,4.266145802,4.33699479,5,7
14,10,10,"Fulk, F. et al. “Ecological Assessment of Streams in the Coal Mining Region of West Virginia Using Data Collected by the U.S. EPA and Environmental Consulting Firms” in Mountaintop Mining/Valley Fills in Appalachia Draft Programmatic Environmental Impact Statement (EPA 9-03-R-00013B, USEPA, 2003).",West Virginia,M,AqInv,Richness,Act,15.9,11.26,2.51,2.4,9,15
